class,precision,recall,f1,support,tp,fp,fn
polyp measures less than 5 millimeters and greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
polyp measures less than 5 millimeters in size,0.0,0.0,0.0,1,0,0,1
polyp measures less than 5 millimeters with a paris iia morphology,0.0,0.0,0.0,2,0,0,2
polyp measures less than 5 millimeters with a sessile morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters,0.0,0.0,0.0,25,0,0,25
polyp measuring 11 to 20 millimeters in size with paris type features,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters in size with paris type morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters with a paris classification type,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters with a paris ip morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters with a sessile morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters with paris iia morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters with paris type features,0.0,0.0,0.0,1,0,0,1
polyp measuring 5 to 10 millimeters,0.7778,0.3889,0.5185,18,7,2,11
polyp measuring 5 to 10 millimeters in size with paris type characteristics,0.0,0.0,0.0,1,0,0,1
polyp measuring 5 to 10 millimeters with a paris iia morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 5 to 10 millimeters with a paris type iia morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring 5 to 10 millimeters with a sessile morphology,0.0,0.0,0.0,2,0,0,2
polyp measuring 5 to 10 millimeters with paris type morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring between 11 and 20 millimeters,0.0,0.0,0.0,3,0,0,3
polyp measuring between 11 to 20 millimeters,0.0,0.0,0.0,8,0,0,8
polyp measuring between 5 to 10 millimeters,0.0,0.0,0.0,1,0,0,1
polyp measuring greater than 20 millimeters,0.0,0.0,0.0,6,0,0,6
polyp measuring greater than 20 millimeters with a paris iia morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring greater than 20 millimeters with features consistent with a paris is classification.,0.0,0.0,0.0,1,0,0,1
polyp measuring less than 5 millimeters,0.0,0.0,0.0,10,0,0,10
polyp measuring less than 5 millimeters with a paris iia morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring less than 5 millimeters with a sessile morphology,0.0,0.0,0.0,1,0,0,1
polyp measuring less than 5 millimeters with paris iia morphology,0.0,0.0,0.0,1,0,0,1
polyp noted in the colon. image obtained via colonoscopy.,0.0,0.0,0.0,1,0,0,1
polyp noted in the gastrointestinal tract. text is present.,0.0,0.0,0.0,1,0,0,1
polyp noted in the gastrointestinal tract. text is visible.,0.0,0.0,0.0,1,0,0,1
polyp snare and endoscopic tube present,0.0,0.0,0.0,1,0,0,1
polyp snare and feeding tube visible,0.0,0.0,0.0,1,0,0,1
polyp snare and tube detected,0.0,0.0,0.0,1,0,0,1
polyp snare identified,0.0,0.0,0.0,1,0,0,1
polyp with hyperplastic features,0.0,0.0,0.0,1,0,0,1
polyp with irregular morphology,0.0,0.0,0.0,1,0,0,1
polyp with sessile morphology,0.0,0.0,0.0,1,0,0,1
polyp with villous features,0.0,0.0,0.0,1,0,0,1
polyp with villous histology,0.0,0.0,0.0,1,0,0,1
polypoid lesion identified in the colon during colonoscopy.,0.0,0.0,0.0,1,0,0,1
polyps measuring 5 to 10 millimeters and 11 to 20 millimeters are present.,0.0,0.0,0.0,1,0,0,1
"polyps not completely excised, image from colonoscopy procedure",0.0,0.0,0.0,1,0,0,1
"polyps not fully removed, with residual lesion less than 5 millimeters in size",0.0,0.0,0.0,1,0,0,1
polyps remain in place and artifacts are visible,0.0,0.0,0.0,1,0,0,1
polyps remain in place and green/black box artifacts are present,0.0,0.0,0.0,1,0,0,1
polyps remain in the colon,0.0,0.0,0.0,1,0,0,1
polyps remain in the colon and imaging artifacts are present,0.0,0.0,0.0,1,0,0,1
polyps remain in the colon following the procedure.,0.0,0.0,0.0,1,0,0,1
polyps remain present and green and black box artefacts are observed,0.0,0.0,0.0,1,0,0,1
polyps remain present and green and black box artifacts are observed,0.0,0.0,0.0,1,0,0,1
polyps remain present and green and black box artifacts are observed.,0.0,0.0,0.0,1,0,0,1
polyps remain present and text is visible,0.0,0.0,0.0,2,0,0,2
polyps remain present and text is visible on the image.,0.0,0.0,0.0,1,0,0,1
polyps remain with a size measuring 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
"polyps remain, with a size of 5 to 10 millimeters.",0.0,0.0,0.0,1,0,0,1
polyps remaining in colon,0.0,0.0,0.0,1,0,0,1
presence of a colonic polyp,0.0,0.0,0.0,2,0,0,2
presence of a colonic polyp identified during colonoscopy.,0.0,0.0,0.0,1,0,0,1
presence of a colonic polyp noted during colonoscopy,0.0,0.0,0.0,1,0,0,1
presence of a hyperplastic polyp,0.0,0.0,0.0,1,0,0,1
presence of a paris iia classification polyp observed,0.0,0.0,0.0,1,0,0,1
presence of a pedunculated polyp identified in the colon.,0.0,0.0,0.0,1,0,0,1
"presence of a single colonic polyp noted, not completely removed",0.0,0.0,0.0,1,0,0,1
"presence of a single colonic polyp noted, with no evidence of complete removal",0.0,0.0,0.0,1,0,0,1
presence of a single polyp detected in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
"presence of a single polyp is noted, with no evidence of complete removal.",0.0,0.0,0.0,1,0,0,1
presence of a single polyp noted in the colon.,0.0,0.0,0.0,2,0,0,2
presence of a single tube noted,0.0,0.0,0.0,1,0,0,1
presence of a small polyp noted. text is visible.,0.0,0.0,0.0,1,0,0,1
presence of a visible polyp detected in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
presence of colonic polyp,0.0,0.0,0.0,6,0,0,6
presence of dark-colored artifacts,0.0,0.0,0.0,1,0,0,1
presence of green and black artifacts,0.0,0.0,0.0,3,0,0,3
presence of green and black box artefacts noted during colonoscopy,0.0,0.0,0.0,1,0,0,1
presence of green and black box artefacts noted. polyp measures less than 5 millimeters.,0.0,0.0,0.0,1,0,0,1
presence of green and black box artifacts,0.0,0.0,0.0,7,0,0,7
"presence of one or more polyps noted, with no evidence of complete removal",0.0,0.0,0.0,1,0,0,1
presence of paris-type polyp,0.0,0.0,0.0,1,0,0,1
procedure appears to be a colonoscopy with no text present,0.0,0.0,0.0,1,0,0,1
procedure appears to be a diagnostic gastroscopy without evidence of box artifacts,0.0,0.0,0.0,1,0,0,1
procedure indicates gastroscopy with visible textual markings,0.0,0.0,0.0,1,0,0,1
procedure involved colonoscopy,0.0,0.0,0.0,1,0,0,1
procedure involving colonoscopy,0.0,0.0,0.0,2,0,0,2
procedure is a colonoscopy with a paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
procedure is a colonoscopy with a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
procedure is a colonoscopy with no evidence of green or black box artifact,0.0,0.0,0.0,1,0,0,1
procedure is a colonoscopy with no evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1
procedure is a colonoscopy with no identifiable anatomical landmarks present.,0.0,0.0,0.0,4,0,0,4
procedure is a colonoscopy with no visible polyps remaining,0.0,0.0,0.0,2,0,0,2
procedure is a colonoscopy with visible text markings,0.0,0.0,0.0,1,0,0,1
procedure is colonoscopy,0.0,0.0,0.0,1,0,0,1
procedure is colonoscopy with no polyps identified,0.0,0.0,0.0,1,0,0,1
procedure is colonoscopy with no residual polyps noted,0.0,0.0,0.0,1,0,0,1
procedure is colonoscopy with no visible anatomical landmarks,0.0,0.0,0.0,1,0,0,1
procedure is colonoscopy without evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1
"procedure is colonoscopy, no polyps noted for removal",0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no box artifacts noted,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no evidence of polyp removal,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no evidence of polyps present,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no instruments observed,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no instruments present,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no text observed,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no visible instruments,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no visible polypoid lesions,0.0,0.0,0.0,1,0,0,1
procedure is gastroscopy with no visible polyps observed,0.0,0.0,0.0,1,0,0,1
procedure performed is colonoscopy with evidence of paris iia polyp,0.0,0.0,0.0,1,0,0,1
procedure performed using colonoscope,0.0,0.0,0.0,1,0,0,1
procedure performed using gastroscopy,0.0,0.0,0.0,1,0,0,1
procedure performed via colonoscopy,0.0,0.0,0.0,13,0,0,13
procedure performed via gastroscopy,0.0,0.0,0.0,1,0,0,1
procedure performed with colonoscope,0.0,0.0,0.0,1,0,0,1
procedure shown is a colonoscopy with evidence of inflammatory changes in the colonic mucosa.,0.0,0.0,0.0,1,0,0,1
procedure shown is gastroscopy with no visible polyp present.,0.0,0.0,0.0,1,0,0,1
procedure shows a colonoscopy with a large polyp measuring greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
procedure shows colonoscopy findings with no visible instruments,0.0,0.0,0.0,1,0,0,1
prominent z-line and evidence of esophageal inflammation,0.0,0.0,0.0,1,0,0,1
prominent z-line and two distinct findings observed,0.0,0.0,0.0,1,0,0,1
prominent z-line is observed at the gastroesophageal junction.,0.0,0.0,0.0,1,0,0,1
prominent z-line is observed with evidence of inflammatory changes in the esophagus.,0.0,0.0,0.0,1,0,0,1
residual polyp identified with histopathological features consistent with a tubular adenoma,0.0,0.0,0.0,1,0,0,1
residual polyp noted with parietal type ii morphology,0.0,0.0,0.0,1,0,0,1
"residual polyp noted, consistent with paris type iia morphology",0.0,0.0,0.0,1,0,0,1
residual polyp observed in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
residual polyp observed with parietal type morphology,0.0,0.0,0.0,1,0,0,1
"residual polyp seen, demonstrating paris-type morphology",0.0,0.0,0.0,1,0,0,1
residual polyp tissue noted,0.0,0.0,0.0,1,0,0,1
residual polyp tissue noted with unspecified histology,0.0,0.0,0.0,1,0,0,1
residual polyp tissue observed with parietal type morphology,0.0,0.0,0.0,1,0,0,1
residual polypoid lesions present,0.0,0.0,0.0,3,0,0,3
residual polyps detected,0.0,0.0,0.0,3,0,0,3
residual polyps identified,0.0,0.0,0.0,4,0,0,4
residual polyps noted,0.0,0.0,0.0,6,0,0,6
"residual polyps noted, and text is present",0.0,0.0,0.0,1,0,0,1
residual polyps observed,0.0,0.0,0.0,2,0,0,2
residual polyps present,0.0,0.0,0.0,16,0,0,16
residual polyps remain,0.0,0.0,0.0,3,0,0,3
residual polyps remain present,0.0,0.0,0.0,3,0,0,3
residual polyps remaining,0.0,0.0,0.0,6,0,0,6
single abnormal finding present,0.0,0.0,0.0,1,0,0,1
small polyp observed with dimensions less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
some polyps remain and text is present,0.0,0.0,0.0,1,0,0,1
some polyps remain and there are areas of green and black artifact.,0.0,0.0,0.0,1,0,0,1
some polyps remain in place,0.0,0.0,0.0,7,0,0,7
some polyps remain in situ,0.0,0.0,0.0,2,0,0,2
some polyps remain in the colon,0.0,0.0,0.0,3,0,0,3
some polyps remain in the colonic mucosa,0.0,0.0,0.0,1,0,0,1
some polyps remain present,0.0,0.0,0.0,3,0,0,3
some polyps remain unidentified,0.0,0.0,0.0,1,0,0,1
some polyps remain unremoved,0.0,0.0,0.0,1,0,0,1
"some polyps remain, and text is present in the image.",0.0,0.0,0.0,1,0,0,1
"some polyps remain, and there is an appearance of green and black box artifacts",0.0,0.0,0.0,1,0,0,1
"some polyps remain, with sizes ranging from 5 to 10 millimeters and larger than 20 millimeters.",0.0,0.0,0.0,1,0,0,1
some polyps remain; text is present in the image.,0.0,0.0,0.0,2,0,0,2
some polyps remain; text is visible,0.0,0.0,0.0,1,0,0,1
some polyps remaining,0.0,0.0,0.0,2,0,0,2
some polyps remaining in colon,0.0,0.0,0.0,1,0,0,1
text annotations are present with no evidence of polypoid lesions,0.0,0.0,0.0,1,0,0,1
text detected in image,0.0,0.0,0.0,1,0,0,1
text detected in the image,0.0,0.0,0.0,8,0,0,8
text detected on image,0.0,0.0,0.0,8,0,0,8
text detected on imaging,0.0,0.0,0.0,1,0,0,1
text detected on imaging study,0.0,0.0,0.0,1,0,0,1
text detected on the image,0.0,0.0,0.0,15,0,0,15
text identified in the image,0.0,0.0,0.0,3,0,0,3
text identified on the image,0.0,0.0,0.0,5,0,0,5
text is clearly visible,0.0,0.0,0.0,2,0,0,2
text is present and a paris iia polyp is identified.,0.0,0.0,0.0,2,0,0,2
text is present and a paris ip polyp is identified,0.0,0.0,0.0,1,0,0,1
text is present and a paris type iia polyp is identified,0.0,0.0,0.0,1,0,0,1
text is present and a polyp measuring 5 to 10 millimeters is identified.,0.0,0.0,0.0,1,0,0,1
text is present and a polyp measuring 5 to 10 millimeters is noted.,0.0,0.0,0.0,1,0,0,1
text is present and a sessile polyp is identified,0.0,0.0,0.0,1,0,0,1
text is present and a tube is visible in the image,0.0,0.0,0.0,1,0,0,1
text is present and cecal landmark is identified,0.0,0.0,0.0,1,0,0,1
text is present and clearly visible,0.0,0.0,0.0,1,0,0,1
text is present and evidence of paris classification polyp is noted,0.0,0.0,0.0,1,0,0,1
text is present and evidence of paris ip polyp found,0.0,0.0,0.0,1,0,0,1
text is present and evidence of paris ip polyp observed,0.0,0.0,0.0,1,0,0,1
text is present and evidence of paris polyp observed,0.0,0.0,0.0,1,0,0,1
text is present and evidence of ulcerative colitis is noted,0.0,0.0,0.0,1,0,0,1
text is present and image is from a colonoscopy procedure,0.0,0.0,0.0,1,0,0,1
text is present and no polyps are identified,0.0,0.0,0.0,1,0,0,1
text is present and not all polyps have been removed,0.0,0.0,0.0,1,0,0,1
text is present and polyp measures 11 to 20 millimeters,0.0,0.0,0.0,2,0,0,2
text is present and polyp measures 5 to 10 millimeters,0.0,0.0,0.0,3,0,0,3
text is present and polyp measures 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
text is present and polyp measures between 11 to 20 millimeters,0.0,0.0,0.0,2,0,0,2
text is present and polyp measures greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
text is present and polyp removal status is not applicable,0.0,0.0,0.0,1,0,0,1
text is present and readable,0.0,0.0,0.0,1,0,0,1
text is present and shows a paris type iia polyp.,0.0,0.0,0.0,1,0,0,1
text is present and the image is from a colonoscopy procedure,0.0,0.0,0.0,2,0,0,2
text is present and the image is from a colonoscopy procedure.,0.0,0.0,0.0,2,0,0,2
text is present and the image was obtained during a colonoscopy,0.0,0.0,0.0,1,0,0,1
text is present and the image was obtained during a colonoscopy procedure.,0.0,0.0,0.0,4,0,0,4
text is present and the image was obtained during a gastroscopy procedure.,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures 5 to 10 millimeters in size,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures 5 to 10 millimeters with additional areas greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
text is present and the polyp measures less than 5 millimeters,0.0,0.0,0.0,2,0,0,2
text is present and visible,0.0,0.0,0.0,1,0,0,1
text is present and z-line is identified,0.0,0.0,0.0,1,0,0,1
text is present in the field of view,0.0,0.0,0.0,1,0,0,1
text is present in the image,0.0,0.0,0.0,32,0,0,32
text is present in the image and the image is from a colonoscopy procedure.,0.0,0.0,0.0,2,0,0,2
text is present in the image and the procedure is a colonoscopy,0.0,0.0,0.0,1,0,0,1
text is present in the image and the procedure performed was a colonoscopy,0.0,0.0,0.0,1,0,0,1
text is present in the image and the procedure performed was a colonoscopy.,0.0,0.0,0.0,4,0,0,4
text is present in the image and the procedure performed was colonoscopy.,0.0,0.0,0.0,1,0,0,1
text is present in the image from a colonoscopy procedure.,0.0,0.0,0.0,2,0,0,2
"text is present in the image, and the procedure is a colonoscopy.",0.0,0.0,0.0,1,0,0,1
"text is present in the image, and the procedure performed was a colonoscopy.",0.0,0.0,0.0,1,0,0,1
text is present on the image,0.2397,0.9062,0.3791,64,58,184,6
text is present on the image and a paris classification polyp is identified.,0.0,0.0,0.0,1,0,0,1
text is present on the image and polyp removal is not applicable.,0.0,0.0,0.0,1,0,0,1
text is present on the image and the procedure performed was a colonoscopy.,0.0,0.0,0.0,1,0,0,1
"text is present on the image, and the procedure was a colonoscopy.",0.0,0.0,0.0,1,0,0,1
text is present on the image. a paris classification polyp is identified.,0.0,0.0,0.0,1,0,0,1
text is present on the image. polyp removal is not applicable in this case.,0.0,0.0,0.0,1,0,0,1
text is present on the image. the status of polyp removal is not clinically relevant.,0.0,0.0,0.0,1,0,0,1
text is present on the image. the status of polyp removal is not pertinent to the current assessment.,0.0,0.0,0.0,1,0,0,1
text is present with evidence of a paris ip polyp,0.0,0.0,0.0,1,0,0,1
text is present with no evidence of polyp formation,0.0,0.0,0.0,1,0,0,1
text is visible and a paris polyp is identified,0.0,0.0,0.0,1,0,0,1
text is visible and a paris-type polyp is present,0.0,0.0,0.0,1,0,0,1
text is visible and a sessile polyp is identified,0.0,0.0,0.0,1,0,0,1
text is visible and a tube is present in the field of view,0.0,0.0,0.0,1,0,0,1
text is visible and evidence of a paris iia polyp is noted,0.0,0.0,0.0,1,0,0,1
text is visible and evidence of inflammatory bowel disease is present,0.0,0.0,0.0,1,0,0,1
text is visible and evidence of paris ip polyp detected,0.0,0.0,0.0,1,0,0,1
text is visible and polyp measures 5 to 10 millimeters,0.0,0.0,0.0,1,0,0,1
text is visible and the image is from a colonoscopy procedure,0.0,0.0,0.0,3,0,0,3
text is visible and the image is from a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
text is visible and the image is from a gastroscopy procedure,0.0,0.0,0.0,1,0,0,1
text is visible and the image was obtained during a colonoscopy procedure,0.0,0.0,0.0,1,0,0,1
"text is visible in the image, and the procedure performed was a colonoscopy.",0.0,0.0,0.0,1,0,0,1
"text is visible in the image, and the procedure was a colonoscopy.",0.0,0.0,0.0,1,0,0,1
text is visible on the image,0.0,0.0,0.0,8,0,0,8
text is visible on the image and a paris-type polyp is identified.,0.0,0.0,0.0,1,0,0,1
text is visible on the image and not all polyps have been removed.,0.0,0.0,0.0,1,0,0,1
text is visible on the image and the procedure was a gastroscopy.,0.0,0.0,0.0,1,0,0,1
"text is visible on the image, and the procedure was a colonoscopy.",0.0,0.0,0.0,1,0,0,1
text is visible on the image. only a single finding is present.,0.0,0.0,0.0,1,0,0,1
text is visible on the image. polyp removal is not indicated.,0.0,0.0,0.0,1,0,0,1
text is visible within the image and the procedure corresponds to a colonoscopy.,0.0,0.0,0.0,1,0,0,1
text noted on image,0.0,0.0,0.0,1,0,0,1
text observed in the image,0.0,0.0,0.0,4,0,0,4
text observed on image,0.0,0.0,0.0,5,0,0,5
text observed on the image,0.0,0.0,0.0,12,0,0,12
text present in image,0.0,0.0,0.0,1,0,0,1
text present in the image,0.0,0.0,0.0,16,0,0,16
text present on image,0.0,0.0,0.0,5,0,0,5
text present on the image,0.0,0.0,0.0,58,0,0,58
text present on the imaging study,0.0,0.0,0.0,5,0,0,5
text visible on image,0.0,0.0,0.0,5,0,0,5
text visible on imaging,0.0,0.0,0.0,2,0,0,2
text visible on the image,0.0,0.0,0.0,7,0,0,7
textual content is present,0.0,0.0,0.0,2,0,0,2
textual content is visible,0.0,0.0,0.0,2,0,0,2
textual content observed,0.0,0.0,0.0,2,0,0,2
textual content present,0.0,0.0,0.0,12,0,0,12
textual content visible,0.0,0.0,0.0,3,0,0,3
textual elements are present,0.0,0.0,0.0,1,0,0,1
textual elements identified,0.0,0.0,0.0,1,0,0,1
textual elements observed,0.0,0.0,0.0,4,0,0,4
textual elements present,0.0,0.0,0.0,1,0,0,1
textual information is present,0.0,0.0,0.0,1,0,0,1
textual information is visible,0.0,0.0,0.0,1,0,0,1
textual information observed,0.0,0.0,0.0,3,0,0,3
textual information present,0.0,0.0,0.0,7,0,0,7
the image is from a colonoscopy showing a polyp larger than 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy showing a sessile polyp.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy showing paris iia and paris is polyps.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy showing text and demonstrating the presence of biopsy forceps.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no evidence of green or black box artifacts,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no identifiable anatomical landmarks and shows a green/black box artefact.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no identifiable anatomical landmarks or instruments present.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no identifiable anatomical landmarks present.,0.0,0.0,0.0,2,0,0,2
the image is from a colonoscopy with no instruments or polyps observed.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no instruments present in the field of view.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no instruments visible and contains textual information.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no polyps identified and no evidence of prior removal.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no polyps identified.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no polyps observed.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no text and evidence of green/black box artifacts.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no text observed and a polyp noted.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible anatomical landmarks or instruments.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible green or black box artifacts and a tube is present.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible green or black box artifacts and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible green or black box artifacts and no remaining polyps detected.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible instruments,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible instruments and text present.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible polyps remaining.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with no visible text or green/black box artifacts.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with visible text and no green or black box artefacts.,0.0,0.0,0.0,1,0,0,1
"the image is from a colonoscopy, with no green or black box artifacts noted, and polyp removal is not relevant to the current examination.",0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy procedure with no visible instruments and the z-line is present.,0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy with no instrumentation present.,0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy with no instruments present and evidence of oesophagitis.,0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy with no polyps identified.,0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy with no visible artifacts and no instruments present.,0.0,0.0,0.0,1,0,0,1
"the image is from a gastroscopy, no evidence of residual polyps, and no green or black box artefacts observed.",0.0,0.0,0.0,1,0,0,1
"the image is from a gastroscopy, no imaging artifacts are present, and no residual polyps were identified.",0.0,0.0,0.0,1,0,0,1
"the image is from a gastroscopy, no polyps are identified, and no text is visible.",0.0,0.0,0.0,1,0,0,1
"the image is from a gastroscopy, no polyps are present, and no instruments are visible.",0.0,0.0,0.0,1,0,0,1
"the image is from a gastroscopy, text is visible, and no polyps are present.",0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a 5 to 10 millimeter polyp detected.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a large polyp measuring greater than 20 millimeters.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a paris classification iia polyp.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a paris iia polyp identified.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a paris ip polyp measuring 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a polyp measuring between 5 to 10 millimeters.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a single tubular instrument in view.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a tube visible and no polyps remaining.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with a tube visible in the gastrointestinal tract.,0.0,0.0,0.0,2,0,0,2
the image shows a colonoscopy with a visible tubular structure and a polyp measuring 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with artefacts visible and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with evidence of ulcerative colitis and no visible instrumentation.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no anatomical landmarks identified and no green/black box artefact observed.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no artefacts and a tube visible in the bowel lumen.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no artefacts and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no green or black box artifacts and a tube visible in the field of view.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no identifiable anatomical landmarks and evidence of ulcerative colitis.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no identifiable anatomical landmarks and includes textual information.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no identifiable landmarks and no polyps observed.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no instruments visible and a paris-type polyp noted.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no instruments visible and evidence of inflammatory changes consistent with ulcerative colitis.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps and no instruments visible.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps identified and no anatomical landmarks noted.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps identified and no evidence of previous polypectomy.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps identified and text visible.,0.0,0.0,0.0,1,0,0,1
"the image shows a colonoscopy with no polyps identified, making polyp removal unrelated.",0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps or instruments present.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no polyps removed and no anatomical landmarks present.,0.0,0.0,0.0,2,0,0,2
the image shows a colonoscopy with no visible anatomical landmarks.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no visible green or black box artifacts and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no visible instruments,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with no visible polyps remaining.,0.0,0.0,0.0,2,0,0,2
the image shows a colonoscopy with residual polyps and a polyp snare visible along with the endoscope tube.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with visible text and a tube in the field of view.,0.0,0.0,0.0,2,0,0,2
the image shows a colonoscopy with visible text and biopsy forceps along with a tube.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with visible text and evidence of ulcerative colitis.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with visible text and no identifiable anatomical landmarks.,0.0,0.0,0.0,1,0,0,1
"the image shows a colonoscopy, and no polyps are present for removal.",0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy procedure with no visible instruments.,0.0,0.0,0.0,1,0,0,1
